time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,Azimuth,Pitch,Roll,Activity
2025-11-21 14:33:09.394622+00:00,-0.0581,0.6715,-0.7501,-0.0022,0.0076,0.0447,0.0142,0.0052,0.0064,132.9801,-138.2504,-4.3895,Sit
2025-11-21 14:33:09.494620+00:00,-0.0562,0.6744,-0.7642,0.015,-0.0121,-0.0663,0.013,-0.0095,0.0027,133.0063,-138.3707,-4.3662,Sit
2025-11-21 14:33:09.595057+00:00,-0.0527,0.6749,-0.7564,0.0176,0.0433,-0.0157,0.0093,-0.0021,-0.0009,133.0703,-138.432,-4.3805,Sit
2025-11-21 14:33:09.695375+00:00,-0.0625,0.6715,-0.754,-0.0391,-0.0213,0.0844,0.0386,-0.007,0.0015,133.1078,-138.5112,-4.4023,Sit
2025-11-21 14:33:09.795511+00:00,-0.0571,0.6675,-0.7628,0.0026,-0.0114,-0.0562,0.0105,-0.0021,0.004,133.218,-138.6427,-4.4361,Sit
2025-11-21 14:33:09.895553+00:00,-0.061,0.6675,-0.7598,-0.028,-0.0054,-0.0072,0.0081,-0.0046,0.0052,133.2635,-138.7016,-4.4364,Sit
2025-11-21 14:33:09.996012+00:00,-0.0566,0.67,-0.755,0.0241,-0.0001,0.0098,-0.0005,0.0003,0.0003,133.2137,-138.7019,-4.3944,Sit
2025-11-21 14:33:10.096129+00:00,-0.0576,0.6695,-0.7662,0.0176,0.0176,-0.0394,0.0069,-0.0021,-0.0046,133.2605,-138.7406,-4.4158,Sit
2025-11-21 14:33:10.196171+00:00,-0.0562,0.67,-0.7633,0.0012,0.0088,-0.0052,-0.0053,0.0027,-0.0046,133.2516,-138.7559,-4.4166,Sit
2025-11-21 14:33:10.296709+00:00,-0.0591,0.67,-0.7589,-0.0175,0.0007,0.0346,-0.0115,0.0003,-0.0021,133.2674,-138.7105,-4.4418,Sit
2025-11-21 14:33:10.396870+00:00,-0.0566,0.6695,-0.7628,-0.0045,-0.0107,0.0047,-0.0102,0.0003,-0.0021,133.2918,-138.6531,-4.472,Sit
2025-11-21 14:33:10.497127+00:00,-0.061,0.668,-0.7579,-0.0001,-0.0101,-0.0169,-0.0127,0.0015,-0.0034,133.2291,-138.5841,-4.4561,Sit
2025-11-21 14:33:10.596996+00:00,-0.0606,0.6768,-0.7623,-0.0141,0.0062,-0.0342,-0.0102,-0.0021,-0.0021,133.2726,-138.5141,-4.5013,Sit
2025-11-21 14:33:10.697333+00:00,-0.064,0.6729,-0.7598,0.0158,0.0292,0.0236,0.002,-0.0119,-0.0009,133.2444,-138.4526,-4.4964,Sit
2025-11-21 14:33:10.797488+00:00,-0.0606,0.6612,-0.7633,0.0084,-0.0279,-0.023,0.0826,-0.0339,0.0052,133.5975,-138.6796,-4.5887,Sit
2025-11-21 14:33:10.897545+00:00,-0.0547,0.6592,-0.7696,0.0684,-0.0198,-0.0899,0.024,0.0052,0.0064,133.9481,-139.146,-4.6414,Sit
2025-11-21 14:33:10.997737+00:00,-0.0591,0.6656,-0.7623,0.01,0.0361,0.0792,0.0093,0.0003,0.0027,133.8667,-139.2507,-4.5623,Sit
2025-11-21 14:33:11.097921+00:00,-0.0581,0.6651,-0.7647,0.0255,0.0263,0.015,0.0069,0.0089,0.004,133.7883,-139.2879,-4.5139,Sit
2025-11-21 14:33:11.198117+00:00,-0.0527,0.6607,-0.7725,0.0423,0.0271,-0.0365,0.0105,0.0015,-0.0021,133.7313,-139.3438,-4.4744,Sit
2025-11-21 14:33:11.298525+00:00,-0.0606,0.6617,-0.7637,0.0079,0.0227,0.0437,0.0142,-0.0082,-0.0034,133.7481,-139.3696,-4.4814,Sit
2025-11-21 14:33:11.398499+00:00,-0.0581,0.6592,-0.7691,0.0259,0.0366,-0.0361,0.0057,0.0052,-0.0021,133.818,-139.4333,-4.5098,Sit
2025-11-21 14:33:11.498689+00:00,-0.0601,0.6578,-0.7725,0.0174,0.0049,-0.0099,0.0093,-0.0021,-0.0009,133.7529,-139.4605,-4.4775,Sit
2025-11-21 14:33:11.598933+00:00,-0.0586,0.6597,-0.7711,0.0066,0.0076,-0.038,-0.0041,0.0027,0.0064,133.7829,-139.4736,-4.4879,Sit
2025-11-21 14:33:11.699106+00:00,-0.0576,0.6622,-0.7716,-0.0113,0.0212,-0.0324,0.0154,-0.0119,0.0003,133.7551,-139.4798,-4.4739,Sit
2025-11-21 14:33:11.799478+00:00,-0.0581,0.6602,-0.7711,0.0166,0.0033,-0.0085,0.0008,0.0052,-0.0021,133.781,-139.4887,-4.4894,Sit
2025-11-21 14:33:11.899481+00:00,-0.0649,0.6563,-0.773,-0.0344,-0.0064,-0.0311,-0.0017,-0.0021,-0.0021,133.7891,-139.4946,-4.4972,Sit
2025-11-21 14:33:11.999718+00:00,-0.0566,0.6592,-0.7598,-0.0116,0.0136,0.0885,0.0093,-0.0009,0.0027,133.7413,-139.4797,-4.4745,Sit
2025-11-21 14:33:12.099988+00:00,-0.0571,0.6568,-0.7799,0.0089,-0.0187,-0.0876,-0.0005,0.0052,0.0003,133.7488,-139.5232,-4.4666,Sit
2025-11-21 14:33:12.199972+00:00,-0.061,0.6627,-0.7662,-0.025,0.0135,0.0311,-0.0188,0.0052,-0.0034,133.653,-139.4902,-4.4243,Sit
2025-11-21 14:33:12.300174+00:00,-0.0591,0.6592,-0.7691,0.0056,0.0214,0.0095,-0.009,0.0052,-0.0009,133.6156,-139.3929,-4.4298,Sit
2025-11-21 14:33:12.400252+00:00,-0.0571,0.6617,-0.7657,0.0029,0.0007,0.0063,-0.0163,0.0064,-0.0046,133.5179,-139.3143,-4.3952,Sit
2025-11-21 14:33:12.500490+00:00,-0.0581,0.6627,-0.7652,-0.0003,-0.0053,-0.0035,-0.0139,0.0052,-0.0034,133.4949,-139.2396,-4.4124,Sit
2025-11-21 14:33:12.603157+00:00,-0.0586,0.669,-0.7677,0.0323,0.0435,-0.017,-0.0273,0.0113,-0.0095,133.4096,-139.1329,-4.3969,Sit
